"","Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
"1",2016-09-19,10336,10377,10314,10363.5,73201,167347
"2",2016-09-16,10402,10419,10236,10258,128058,147153
"3",2016-09-15,10345,10476,10335,10444.5,131491,132763
"4",2016-09-14,10435,10453,10347.5,10393.5,150104,162019
"5",2016-09-13,10525,10526,10351,10387.5,168604,183550
"6",2016-09-12,10390,10547,10320,10422.5,173291,158526
"7",2016-09-09,10664.5,10671.5,10466,10567.5,113135,170871
"8",2016-09-08,10751,10780.5,10566,10673,117412,156868
"9",2016-09-07,10717.5,10777.5,10657,10748.5,85419,150408
"10",2016-09-06,10692,10741.5,10653.5,10684.5,79823,143163
"11",2016-09-05,10750,10754.5,10670,10678.5,49522,163023
"12",2016-09-02,10561.5,10727,10512.5,10689,98901,160399
"13",2016-09-01,10612.5,10678,10488.5,10523.5,99287,154447
"14",2016-08-31,10645,10665.5,10551,10610.5,80075,149942
"15",2016-08-30,10569.5,10690,10568.5,10664,75879,148348
"16",2016-08-29,10519,10572.5,10436,10544.5,64413,157807
"17",2016-08-26,10507,10616,10452.5,10589.5,88856,158217
"18",2016-08-25,10619,10619,10466,10528.5,84878,152765
"19",2016-08-24,10555,10653.5,10513.5,10621,76645,149408
"20",2016-08-23,10519.5,10625,10509.5,10595,67850,163090
"21",2016-08-22,10528,10657,10386,10476.5,92658,157820
"22",2016-08-19,10631,10632.5,10487.5,10548,82012,147861
"23",2016-08-18,10614,10626.5,10546.5,10600.5,58738,163262
"24",2016-08-17,10660,10703,10512,10539.5,90847,158567
"25",2016-08-16,10710,10738.5,10630.5,10698.5,79633,148774
"26",2016-08-15,10721,10804,10710.5,10747.5,52799,149192
"27",2016-08-12,10723,10734.5,10680,10717,59000,162189
"28",2016-08-11,10676,10744,10629,10720.5,85880,157847
"29",2016-08-10,10696.5,10714,10630.5,10654,72186,167588
"30",2016-08-09,10406,10700.5,10406,10697,96697,148270
"31",2016-08-08,10427.5,10479,10396.5,10433.5,61894,148392
"32",2016-08-05,10250,10374.5,10209,10353,73982,151397
"33",2016-08-04,10233.5,10279.5,10175.5,10214,82039,148329
"34",2016-08-03,10129,10216.5,10088,10164.5,82533,152953
"35",2016-08-02,10300,10336,10111,10146,90010,153377
"36",2016-08-01,10434,10472,10271,10336.5,79025,145964
"37",2016-07-29,10340,10354,10279,10326,72925,154107
"38",2016-07-28,10305.5,10381,10259,10295.5,88056,140976
"39",2016-07-27,10282,10346,10274.5,10307.5,73434,139519
"40",2016-07-26,10210.5,10271,10138.5,10246.5,74320,140149
"41",2016-07-25,10117.5,10257,10107,10177.5,75143,138292
"42",2016-07-22,10107,10174,10059.5,10136.5,71486,143387
"43",2016-07-21,10130,10189,10078.5,10163.5,81634,136636
"44",2016-07-20,9992,10139,9978.5,10135,74118,138799
"45",2016-07-19,10020,10043.5,9910.5,9973,80014,136337
"46",2016-07-18,10085,10154.5,10000.5,10068.5,73182,135605
"47",2016-07-15,10025,10092,9964,10049.5,70213,140846
"48",2016-07-14,9940,10101.5,9939,10071,90200,135445
"49",2016-07-13,9929.5,9992.5,9887.5,9942,66431,140932
"50",2016-07-12,9798.5,10005,9786,9964.5,86699,142688
"51",2016-07-11,9712,9834,9675.5,9822.5,93733,143522
"52",2016-07-08,9382.5,9644.5,9356.5,9629.5,87985,139081
"53",2016-07-07,9425,9497,9351.5,9413,84793,153058
"54",2016-07-06,9438,9522,9290,9358.5,121989,139347
"55",2016-07-05,9692.5,9692.5,9453.5,9519,93580,120147
"56",2016-07-04,9760,9801,9687,9704.5,41911,139459
"57",2016-07-01,9718.5,9795,9645.5,9757,88195,152516
"58",2016-06-30,9616.5,9784.5,9501,9668.5,110053,158849
"59",2016-06-29,9538,9631.5,9493,9587.5,96929,175082
"60",2016-06-28,9418.5,9544.5,9397,9415,108556,183868
"61",2016-06-27,9402.5,9580.5,9201.5,9255,150644,177124
"62",2016-06-24,9350,9708.5,9152.5,9558,201088,143479
"63",2016-06-23,10130,10340,10090,10236.5,107191,135459
"64",2016-06-22,10097.5,10141.5,10032.5,10129.5,94139,141914
"65",2016-06-21,9968,10111.5,9917.5,10029.5,97314,144119
"66",2016-06-20,9865,9985,9838,9951.5,102929,134725
"67",2016-06-17,9659.5,9712.5,9565,9601,117554,134725
"68",2016-06-16,9491,9664.5,9429.5,9569,153337,136935
"69",2016-06-15,9565.5,9667,9559.5,9625.5,147513,168162
"70",2016-06-14,9615,9632.5,9504,9512.5,184256,169974
"71",2016-06-13,9709.5,9757.5,9597.5,9684,144455,169018
"72",2016-06-10,10065,10081.5,9773,9836,133801,159890
"73",2016-06-09,10205,10212,10043,10087,101533,154368
"74",2016-06-08,10253,10271,10175.5,10205,80295,156578
"75",2016-06-07,10161,10319,10156,10288.5,88191,152577
"76",2016-06-06,10127.5,10153,10092,10132.5,81337,166967
"77",2016-06-03,10250.5,10285.5,10037,10090.5,112904,156525
"78",2016-06-02,10178.5,10258,10152.5,10220,79388,160043
"79",2016-06-01,10252.5,10288,10160.5,10195,95406,159473
"80",2016-05-31,10362,10374.5,10229,10263.5,80888,140300
"81",2016-05-30,10325,10349.5,10285,10336.5,33291,150785
"82",2016-05-27,10280,10307.5,10241.5,10272,58918,155244
"83",2016-05-26,10175.5,10287.5,10173,10277,77304,160508
"84",2016-05-25,10140,10234,10128.5,10207,92027,170555
"85",2016-05-24,9811,10123,9767,10071.5,122770,165271
"86",2016-05-23,9929,9972,9806,9858,101765,156895
"87",2016-05-20,9896.5,9921.5,9846,9909.5,87895,168313
"88",2016-05-19,9879,9907,9766,9794.5,121096,161685
"89",2016-05-18,9835.5,9960,9791,9942.5,103653,165845
"90",2016-05-17,9996.5,10079.5,9812,9871.5,116111,120749
"91",2016-05-16,0,0,0,9945.5,0,163179
"92",2016-05-13,9818,9979.5,9761,9945.5,109025,169700
"93",2016-05-12,9967.5,10087.5,9838.5,9861,125024,153463
"94",2016-05-11,10060.5,10068,9928,9978.5,92924,157856
"95",2016-05-10,10034,10114.5,9993.5,10037,96224,164572
"96",2016-05-09,9960,10076,9879,9982,111790,164835
"97",2016-05-06,9814,9931.5,9736,9876.5,107477,123675
"98",2016-05-05,9890,9929,9805.5,9829,85921,122100
"99",2016-05-04,9955,9974.5,9817,9828,104791,124545
"100",2016-05-03,10135,10144,9930,9956.5,118079,123858
"101",2016-05-02,10080.5,10169,10076,10122,89991,124052
"102",2016-04-29,10229,10282.5,10054.5,10085.5,129429,124716
"103",2016-04-28,10281.5,10364,10152.5,10342.5,120360,121837
"104",2016-04-27,10283,10378.5,10252,10328.5,98597,119259
"105",2016-04-26,10353,10421.5,10243,10301.5,107021,117331
"106",2016-04-25,10398,10438,10261.5,10329.5,111518,115875
"107",2016-04-22,10428,10462,10357,10396.5,91755,117456
"108",2016-04-21,10495.5,10522,10371,10485,108190,116246
"109",2016-04-20,10342,10495,10313.5,10473.5,104874,117017
"110",2016-04-19,10215,10408,10181.5,10381.5,127327,112636
"111",2016-04-18,9972.5,10183.5,9938,10166.5,103782,112878
"112",2016-04-15,10104,10125,10043,10085.5,83296,111722
"113",2016-04-14,10075.5,10137,10045.5,10121.5,97827,111940
"114",2016-04-13,9883,10073,9883,10031.5,115418,111237
"115",2016-04-12,9706,9829.5,9645,9797,116230,111457
"116",2016-04-11,9649.5,9784.5,9551.5,9726,115085,110820
"117",2016-04-08,9579.5,9707.5,9570,9650.5,96636,114304
"118",2016-04-07,9679,9736,9472.5,9534.5,115472,114067
"119",2016-04-06,9617,9700.5,9537.5,9666,113466,118199
"120",2016-04-05,9760,9760,9556,9614.5,118372,114131
"121",2016-04-04,9860.5,9946,9767,9842,116125,113436
"122",2016-04-01,9915,9919,9712.5,9838,143509,111074
"123",2016-03-31,10058,10070.5,9963,10000,89597,111337
"124",2016-03-30,9988,10139,9964,10091,87224,110693
"125",2016-03-29,9945,9994,9845.5,9925.5,89612,115831
"126",2016-03-24,9999,10023.5,9876.5,9905.5,91587,109549
"127",2016-03-23,10016,10153,10000.5,10068.5,99437,106706
"128",2016-03-22,9988,10037.5,9791,10006,116268,107412
"129",2016-03-21,9952,10133,9893,9978.5,93651,105757
"130",2016-03-18,9905,9996,9855,9992.5,98470,103012
"131",2016-03-17,10039.5,10069.5,9747.5,9871.5,177114,57642
"132",2016-03-16,9961,10023.5,9916,9983.5,161211,76053
"133",2016-03-15,9954,9976,9889,9940,152016,106442
"134",2016-03-14,9878,10040,9868.5,9989.5,127670,117478
"135",2016-03-11,9629.5,9895,9623.5,9831.5,134793,127277
"136",2016-03-10,9730,9996.5,9394.5,9513,213068,126888
"137",2016-03-09,9713,9840,9678,9726.5,102642,127052
"138",2016-03-08,9713,9788,9613,9690,108205,129635
"139",2016-03-07,9786.5,9809.5,9686,9772.5,85647,130106
"140",2016-03-04,9780,9900,9738,9818.5,103174,129461
"141",2016-03-03,9806,9818,9706,9734,82539,130411
"142",2016-03-02,9811,9838.5,9692,9776,101876,132933
"143",2016-03-01,9432,9776.5,9425,9714.5,120989,131483
"144",2016-02-29,9434.5,9506.5,9326,9464,109711,129640
"145",2016-02-26,9420,9575.5,9411,9525.5,111163,133533
"146",2016-02-25,9268,9398,9197,9327,111188,137180
"147",2016-02-24,9378,9425,9120.5,9149,132785,132135
"148",2016-02-23,9495,9534,9394,9424,94491,134095
"149",2016-02-22,9435,9586,9434,9571.5,76600,134077
"150",2016-02-19,9458,9474,9316,9362.5,96688,135509
"151",2016-02-18,9391,9548.5,9342.5,9456.5,107998,136036
"152",2016-02-17,9161,9418,9130,9376.5,99593,136555
"153",2016-02-16,9262,9268,9072,9105.5,102618,135196
"154",2016-02-15,9108,9245,9105.5,9209,81669,138673
"155",2016-02-12,8831,8991,8806.5,8942.5,106067,141155
"156",2016-02-11,8885,8914.5,8690.5,8773.5,156980,139373
"157",2016-02-10,8910.5,9125,8868,9024.5,131018,141274
"158",2016-02-09,8925.5,9037.5,8767.5,8906.5,174555,145582
"159",2016-02-08,9314,9334.5,8915.5,8972.5,164288,143563
"160",2016-02-05,9360,9467.5,9221,9266.5,128320,145508
"161",2016-02-04,9602,9620,9260.5,9394,146370,142065
"162",2016-02-03,9475,9574,9345,9435,151167,140419
"163",2016-02-02,9735,9735,9478.5,9562.5,119545,140305
"164",2016-02-01,9842,9846,9630.5,9739.5,96568,141375
"165",2016-01-29,9796,9836,9646,9756,101371,139047
"166",2016-01-28,9789,9902.5,9586,9623.5,132861,141297
"167",2016-01-27,9817.5,9923.5,9711,9857,102500,140931
"168",2016-01-26,9591.5,9870.5,9563,9835,99758,141526
"169",2016-01-25,9840,9848,9670,9736,92628,140570
"170",2016-01-22,9720,9841.5,9704.5,9792.5,116735,141905
"171",2016-01-21,9401,9667.5,9333,9569.5,150866,143405
"172",2016-01-20,9390.5,9518,9251.5,9357.5,161395,140065
"173",2016-01-19,9682.5,9760,9525.5,9655,116821,139011
"174",2016-01-18,9566,9660.5,9454,9524,93251,140484
"175",2016-01-15,9786,9834,9410,9509.5,166695,136924
"176",2016-01-14,9840,9943.5,9612,9817.5,167334,138858
"177",2016-01-13,10107,10165.5,9734.5,9949.5,130851,137827
"178",2016-01-12,9811.5,10094.5,9776,9994.5,117713,134662
"179",2016-01-11,9696.5,9980.5,9657,9857,126093,135049
"180",2016-01-08,9973.5,10125.5,9723,9859.5,131236,133151
"181",2016-01-07,9986.5,10041,9810.5,9973.5,150873,134841
"182",2016-01-06,10240,10287.5,10093.5,10219,111774,134971
"183",2016-01-05,10389,10403.5,10172,10285.5,102731,134330
"184",2016-01-04,10519.5,10523.5,10250,10264,126181,132203
"185",2015-12-31,10772,10772,10772,10772,0,132666
"186",2015-12-30,10884,10886,10693.5,10772,40628,132433
"187",2015-12-29,10732,10884,10731,10846,50513,131497
"188",2015-12-28,10727.5,10774.5,10628.5,10652,43020,132466
"189",2015-12-24,10743.5,10743.5,10743.5,10743.5,0,132598
"190",2015-12-23,10567.5,10767,10565,10743.5,71593,132857
"191",2015-12-22,10595,10639.5,10401.5,10477.5,87499,133417
"192",2015-12-21,10551,10803.5,10475.5,10539.5,92517,132277
"193",2015-12-18,10665.5,10735,10620.5,10599.64,10058,40299
"194",2015-12-17,10627,10833,10526,10754,129700,50385
"195",2015-12-16,10481,10650,10421,10463,147768,82421
"196",2015-12-15,10262,10489,10224,10453,158490,107554
"197",2015-12-14,10350,10446.5,10119.5,10144.5,178193,122515
"198",2015-12-11,10598,10606,10268.5,10353.5,146937,128600
"199",2015-12-10,10510,10664,10497.5,10613.5,89379,133578
"200",2015-12-09,10689,10719.5,10447.5,10610.5,122274,132147
"201",2015-12-08,10885,10900,10612.5,10687,109989,135697
"202",2015-12-07,10877,10994.5,10805,10868.5,95976,137600
"203",2015-12-04,10684,10879.5,10630.5,10753,120730,141252
"204",2015-12-03,11150,11323.5,10641,10827,200673,143909
"205",2015-12-02,11314.5,11334,11078.5,11191,103033,143617
"206",2015-12-01,11415,11419,11234,11266.5,99346,145408
"207",2015-11-30,11283,11433.5,11252.5,11378.5,81426,144180
"208",2015-11-27,11251.5,11356,11243,11294,63413,143396
"209",2015-11-26,11175.5,11369,11163,11315,61108,143690
"210",2015-11-25,10977.5,11189,10920,11164.5,86866,140126
"211",2015-11-24,11071,11083,10867,10919,116852,140134
"212",2015-11-23,11135,11143,11027,11112.5,69543,139233
"213",2015-11-20,11064,11166,11049,11126,83944,140110
"214",2015-11-19,11050,11153.5,11034.5,11089,96054,138518
"215",2015-11-18,10898.5,11048.5,10876,10964,90287,140310
"216",2015-11-17,10829,10978.5,10782,10959,107829,140008
"217",2015-11-16,10500,10820.5,10482,10687.5,101828,138579
"218",2015-11-13,10719,10817,10605.5,10693.5,113267,137931
"219",2015-11-12,10890,10960.5,10711,10787,113577,138567
"220",2015-11-11,10864,10996.5,10836,10910,86887,137968
"221",2015-11-10,10854,10872.5,10727,10832,90846,137873
"222",2015-11-09,10995,11013.5,10786,10811.5,86938,136155
"223",2015-11-06,10902,11059,10841.5,10987,97924,134361
"224",2015-11-05,10868.5,10966,10781.5,10893,92811,133851
"225",2015-11-04,10972,11009,10812,10840,94571,133723
"226",2015-11-03,10964.5,10999,10882.5,10941.5,77912,135453
"227",2015-11-02,10761,10995,10727.5,10956,82194,129190
"228",2015-10-30,10845.5,10880,10746.5,10819.5,75155,128479
"229",2015-10-29,10877,10893.5,10741,10789,89221,127748
"230",2015-10-28,10719.5,10927,10691,10841.5,93327,126949
"231",2015-10-27,10786,10809.5,10685.5,10713.5,86937,127918
"232",2015-10-26,10810,10867.5,10757.5,10808.5,89205,128840
"233",2015-10-23,10640,10860,10583.5,10783.5,124858,130638
"234",2015-10-22,10206,10587,10188.5,10502,134790,128578
"235",2015-10-21,10191,10276.5,10102.5,10231,95744,128060
"236",2015-10-20,10157.5,10193,10076,10163,78102,128589
"237",2015-10-19,10124,10208,10066,10166.5,84276,130614
"238",2015-10-16,10139,10166,10052.5,10098.5,92659,137152
"239",2015-10-15,9980,10148.5,9956,10059.5,101443,134228
"240",2015-10-14,9970,10039,9885.5,9928,106609,134704
"241",2015-10-13,10104.5,10116.5,9935.5,10019.5,108468,135865
"242",2015-10-12,10120.5,10188,10053,10132,67186,136429
"243",2015-10-09,10119,10147,10044.5,10098,87626,135455
"244",2015-10-08,9939,10105,9907.5,10001,118688,136462
"245",2015-10-07,9898.5,10093.5,9889,9947,130957,138702
"246",2015-10-06,9827.5,9956,9728,9916.5,118688,138715
"247",2015-10-05,9739,9892.5,9647.5,9799,114878,140956
"248",2015-10-02,9580,9681,9390,9536,136757,147671
"249",2015-10-01,9748.5,9787.5,9449,9509,132860,144084
"250",2015-09-30,9589.5,9734.5,9581,9659.5,127717,145018
"251",2015-09-29,9420,9539,9301,9466.5,146904,147922
"252",2015-09-28,9577,9678.5,9434,9490.5,126500,142115
"253",2015-09-25,9598,9746.5,9561.5,9705,125932,144834
"254",2015-09-24,9591.5,9708,9361,9415.5,149605,139395
"255",2015-09-23,9510,9712,9483,9620.5,111571,140124
"256",2015-09-22,9991,10019,9557.5,9569,152949,134412
"257",2015-09-21,9885,10000.5,9782,9969.5,106925,136214
"258",2015-09-18,10200.5,10220,9968,9948.61,14343,32331
"259",2015-09-17,10281,10328.5,10128,10244.5,96730,49189
"260",2015-09-16,10229.5,10339,10171.5,10238,123415,76968
"261",2015-09-15,10178.5,10262,10067.5,10212.5,163099,107783
"262",2015-09-14,10179,10227,10081.5,10166.5,120069,120131
"263",2015-09-11,10250,10250.5,10076.5,10138.5,94229,121252
"264",2015-09-10,10235.5,10327,10153,10215,123135,128495
"265",2015-09-09,10447.5,10524,10155.5,10305.5,116112,129591
"266",2015-09-08,10145.5,10372.5,10092.5,10280.5,97663,129535
"267",2015-09-07,10100,10183,10052.5,10114,50774,131116
"268",2015-09-04,10143,10217,9955,10053.5,107944,132063
"269",2015-09-03,10125.5,10380.5,10111,10325,115863,131772
"270",2015-09-02,10027.5,10138,9960,10067,103145,133993
"271",2015-09-01,10014,10118,9885,9995,128608,133591
"272",2015-08-31,10191.5,10309,10129.5,10247,76775,136136
"273",2015-08-28,10313,10353,10183,10271,84523,139543
"274",2015-08-27,10217.5,10383,10165.5,10332.5,122931,140627
"275",2015-08-26,9993,10204,9849,10033,148609,148754
"276",2015-08-25,9701.5,10187.5,9701.5,10162.5,192014,149759
"277",2015-08-24,9806.5,9936.5,9317.5,9630.5,243466,146540
"278",2015-08-21,10153,10437,9980,10152,204061,146884
"279",2015-08-20,10658,10658,10300,10430,149218,148707
"280",2015-08-19,10847,10856,10670,10686,103029,146690
"281",2015-08-18,10973.5,10984,10880,10916.5,72423,147255
"282",2015-08-17,11031,11114,10811.5,10951,104465,147186
