"","Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
"1",2016-09-19,100.301,100.301,100.301,100.301,0,3718
"2",2016-09-16,100.305,100.305,100.305,100.305,0,3718
"3",2016-09-15,100.305,100.305,100.305,100.305,1,3718
"4",2016-09-14,100.305,100.305,100.305,100.305,0,3718
"5",2016-09-13,100.305,100.305,100.305,100.305,0,3718
"6",2016-09-12,0,0,0,100.305,0,3719
"7",2016-09-09,0,0,0,100.305,1,3718
"8",2016-09-08,0,0,0,100.305,25,3847
"9",2016-09-07,100.31,100.31,100.31,100.315,100,3817
"10",2016-09-06,0,0,0,100.315,0,3817
"11",2016-09-05,0,0,0,100.31,0,3817
"12",2016-09-02,0,0,0,100.31,0,3847
"13",2016-09-01,0,0,0,100.305,30,3847
"14",2016-08-31,0,0,0,100.305,0,3847
"15",2016-08-30,0,0,0,100.305,0,3847
"16",2016-08-29,0,0,0,100.305,0,3847
"17",2016-08-26,0,0,0,100.305,0,3847
"18",2016-08-25,0,0,0,100.305,0,3847
"19",2016-08-24,0,0,0,100.305,0,3847
"20",2016-08-23,0,0,0,100.31,0,3847
"21",2016-08-22,100.31,100.31,100.31,100.31,40,3849
"22",2016-08-19,0,0,0,100.31,0,3849
"23",2016-08-18,0,0,0,100.31,0,3849
"24",2016-08-17,0,0,0,100.31,0,3849
"25",2016-08-16,100.315,100.315,100.315,100.31,1,3849
"26",2016-08-15,0,0,0,100.315,200,3999
"27",2016-08-12,0,0,0,100.315,0,3999
"28",2016-08-11,0,0,0,100.315,0,3999
"29",2016-08-10,0,0,0,100.315,0,3999
"30",2016-08-09,100.31,100.31,100.31,100.315,37,3999
"31",2016-08-08,100.315,100.315,100.315,100.315,19,3989
"32",2016-08-05,100.315,100.315,100.315,100.315,50,3969
"33",2016-08-04,100.315,100.315,100.315,100.315,24,3969
"34",2016-08-03,0,0,0,100.315,0,4218
"35",2016-08-02,100.31,100.31,100.31,100.315,654,4623
"36",2016-08-01,0,0,0,100.315,0,4623
"37",2016-07-29,0,0,0,100.315,0,4623
"38",2016-07-28,0,0,0,100.315,100,4623
"39",2016-07-27,0,0,0,100.315,50,4673
"40",2016-07-26,100.31,100.315,100.31,100.315,7,4676
"41",2016-07-25,0,0,0,100.315,100,4776
"42",2016-07-22,0,0,0,100.315,0,4776
"43",2016-07-21,100.315,100.315,100.31,100.315,22,4776
"44",2016-07-20,0,0,0,100.315,0,4776
"45",2016-07-19,0,0,0,100.32,30,4776
"46",2016-07-18,100.315,100.32,100.315,100.32,212,4976
"47",2016-07-15,0,0,0,100.315,0,4976
"48",2016-07-14,100.315,100.315,100.315,100.32,64,5006
"49",2016-07-13,100.33,100.33,100.33,100.33,9,5006
"50",2016-07-12,100.325,100.325,100.325,100.325,1,5006
"51",2016-07-11,100.335,100.335,100.335,100.33,12,5007
"52",2016-07-08,0,0,0,100.335,0,5007
"53",2016-07-07,100.335,100.34,100.335,100.335,5,5007
"54",2016-07-06,0,0,0,100.34,0,5018
"55",2016-07-05,100.34,100.34,100.34,100.34,11,5007
"56",2016-07-04,0,0,0,100.335,0,5007
"57",2016-07-01,100.33,100.33,100.33,100.325,11,5007
"58",2016-06-30,100.31,100.31,100.31,100.315,152,4855
"59",2016-06-29,100.305,100.31,100.305,100.305,16,4855
"60",2016-06-28,0,0,0,100.31,0,4875
"61",2016-06-27,100.295,100.295,100.295,100.3,20,4865
"62",2016-06-24,100.31,100.31,100.31,100.315,10,4855
"63",2016-06-23,100.275,100.275,100.275,100.275,16,4855
"64",2016-06-22,100.275,100.275,100.275,100.275,24,4855
"65",2016-06-21,0,0,0,100.275,0,4855
"66",2016-06-20,100.27,100.27,100.27,100.27,20,4855
"67",2016-06-17,100.27,100.27,100.27,100.27,109,5414
"68",2016-06-16,100.27,100.275,100.27,100.275,1153,4730
"69",2016-06-15,100.27,100.27,100.27,100.27,15,4720
"70",2016-06-14,0,0,0,100.27,0,4720
"71",2016-06-13,100.27,100.27,100.27,100.265,14,5811
"72",2016-06-10,100.265,100.265,100.265,100.265,0,11735
"73",2016-06-09,100.265,100.265,100.265,100.265,0,11735
"74",2016-06-08,100.265,100.265,100.265,100.265,0,11736
"75",2016-06-07,100.265,100.265,100.265,100.26,166,11639
"76",2016-06-06,0,0,0,100.26,34,11673
"77",2016-06-03,0,0,0,100.265,676,11672
"78",2016-06-02,0,0,0,100.26,0,11672
"79",2016-06-01,0,0,0,100.26,0,11672
"80",2016-05-31,0,0,0,100.26,0,11672
"81",2016-05-30,100.26,100.26,100.26,100.26,0,11822
"82",2016-05-27,100.265,100.265,100.265,100.26,773,11628
"83",2016-05-26,100.26,100.26,100.26,100.26,45,11673
"84",2016-05-25,100.26,100.26,100.26,100.26,47,11703
"85",2016-05-24,100.26,100.26,100.26,100.26,0,11703
"86",2016-05-23,100.26,100.26,100.26,100.26,0,11703
"87",2016-05-20,100.26,100.26,100.26,100.26,61,11758
"88",2016-05-19,100.255,100.255,100.255,100.255,11,11758
"89",2016-05-18,100.26,100.26,100.26,100.255,20,11750
"90",2016-05-17,0,0,0,100.255,0,11750
"91",2016-05-16,0,0,0,100.26,0,11754
"92",2016-05-13,100.26,100.26,100.255,100.26,92,11737
"93",2016-05-12,100.265,100.265,100.265,100.265,101,11803
"94",2016-05-11,0,0,0,100.265,100,11738
"95",2016-05-10,0,0,0,100.265,0,11738
"96",2016-05-09,100.255,100.255,100.255,100.26,15,11738
